time_sequence,contributor,grant,amount,flag
0,a0b99288e1,Coin Center is educating policy makers about public blockchains,95.0,0
1,55d1f7cbf0,Bankless,39.89999999999999,0
2,55d1f7cbf0,Coin Center is educating policy makers about public blockchains,39.89999999999999,0
3,55d1f7cbf0,The Defiant,39.89999999999999,0
4,55d1f7cbf0,The Daily Gwei by Anthony Sassano (sassal0x),39.89999999999999,0
5,55d1f7cbf0,Ethereum.cn,39.89999999999999,0
6,55d1f7cbf0,Zero Knowledge Podcast,39.89999999999999,0
7,55d1f7cbf0,EthHub - Ethereum Information Hub,39.89999999999999,0
8,55d1f7cbf0,DeFi Dad DeFi Tutorials on YouTube and Twitter,39.89999999999999,0
9,55d1f7cbf0,ETHPlanet,39.89999999999999,0
10,55d1f7cbf0,Rekt- The dark web of DeFi journalism,39.89999999999999,0
11,55d1f7cbf0,""" Secret Garden "" —Crypto Art Exhibition for Children with Autism",39.89999999999999,0
12,55d1f7cbf0,Week in Ethereum News,39.89999999999999,0
13,55d1f7cbf0,The Daily Ape,39.89999999999999,0
14,55d1f7cbf0,ETH Memes Twitter,39.89999999999999,0
15,55d1f7cbf0,defiprime.com,39.89999999999999,0
16,55d1f7cbf0,"Ethereum Is Growing & So Are We! 200k Followers, 10M Views & 1000+ Episodes. We Cover All Aspects Of Ethereum!",39.89999999999999,0
17,55d1f7cbf0,One Minute Block Time Newsletter,39.89999999999999,0
18,55d1f7cbf0,The NonFunGerbils Podcast,39.89999999999999,0
19,55d1f7cbf0,Our Network - Community Driven Analytics,39.89999999999999,0
20,55d1f7cbf0,Token Terminal,39.89999999999999,0
21,55d1f7cbf0,karbonbased shitposting ,39.89999999999999,0
22,55d1f7cbf0,/r/ethstaker,39.89999999999999,0
23,55d1f7cbf0,Chris Blec,39.89999999999999,0
24,55d1f7cbf0,DAppChaser,39.89999999999999,0
25,55d1f7cbf0,APY.Vision,39.89999999999999,0
26,0fcb32b223,The Daily Gwei by Anthony Sassano (sassal0x),3.5963853131115,0
27,7f8c6445d0,Coin Center is educating policy makers about public blockchains,92.1930520742075,0
28,0fcb32b223,The Ethereum 2.0 Annotated Specification,3.9959836812350003,0
29,5ef153f66e,Borderless Basic Income -- Decentralized UBI and Distributions,2.71156035512375,0
30,d1e98c0198,EtherDrops,5.4231207102475,0
31,065c67464e,NFTfi,1.8999999999999997,0
32,065c67464e,Rekt- The dark web of DeFi journalism,1.8999999999999997,0
33,065c67464e,Bankless,1.8999999999999997,0
34,065c67464e,BrightID 🔆 Universal Proof of Uniqueness (Panvala League),1.8999999999999997,0
35,065c67464e,The Ethereum 2.0 Annotated Specification,1.8999999999999997,0
36,065c67464e,ArchiveNode.io - The Public Access Ethereum Archive Node,1.8999999999999997,0
37,065c67464e,Nimbus,1.8999999999999997,0
38,065c67464e,Ethereum on ARM,1.8999999999999997,0
39,065c67464e,The Gitcoin Open Source Support Fund,1.8999999999999997,0
40,065c67464e,Nethermind,1.8999999999999997,0
41,065c67464e,Furucombo - Build your own DeFi legos into one transaction without knowing how to code.,1.8999999999999997,0
42,065c67464e,The MoonMath Manual to zk-SNARKs,1.8999999999999997,0
43,065c67464e,Vyper.fun | CryptoZombies+Ethernaut for Vyper,1.8999999999999997,0
44,065c67464e,CryptoScamDB,1.8999999999999997,0
45,065c67464e,The Daily Ape,1.8999999999999997,0
46,065c67464e,HAL’s Marathon: “One recipe a day to make Ethereum easier to use”,1.8999999999999997,0
47,065c67464e,Feel the yearn,1.8999999999999997,0
48,065c67464e,Zapper.fi,1.8999999999999997,0
49,065c67464e,Week in Ethereum News,1.8999999999999997,0
50,065c67464e,Snapshot,1.8999999999999997,0
51,065c67464e,OpenEthereum (Ex-Parity client),1.8999999999999997,0
52,065c67464e,Coin Center is educating policy makers about public blockchains,1.8999999999999997,0
53,065c67464e,/r/ethstaker,1.8999999999999997,0
54,e335cb26dd,Coin Center is educating policy makers about public blockchains,21.69248284099,0
55,8df36a4069,DAppChaser,19.0,0
56,648b51b24b,EtherDrops,54.231207102475004,0
57,061f720b7d,Minerva Wallet (lab10 collective - Panvala League),2.8767132386360985,0
58,1df96d1a31,The Marma J Foundation,1.8999999999999997,0
59,9a73d9d0b9,Keep3r.live,949.9999999999999,0
60,1df96d1a31,EthCC by Ethereum France,1.8999999999999997,0
61,9a73d9d0b9,The Commons Stack: Iteration 0,949.9999999999999,0
62,9df33f806b,Frame,6.0,0
63,9a73d9d0b9,Pine Finance (ex UniswapEX v2),95.0,0
64,1552ce8782,EtherDrops,2.5298499999999993,0
65,9df33f806b,Coin Center is educating policy makers about public blockchains,10.0,0
66,bafffd164f,EtherDrops,5.4231207102475,0
67,9a73d9d0b9,WalletConnect,9.5,0
68,152e29db64,DAppChaser,5.4231207102475,0
69,e9d52a91c1,EtherDrops,27.115603551237502,0
70,23d124901e,EtherDrops,4.75,0
71,0b5a8c6599,DAppChaser,4.75,0
72,8b3d606762,DAppChaser,4.75,0
73,e7c56c10e0,Coin Center is educating policy makers about public blockchains,5.4231207102475,0
74,ef5e2582f1,EtherDrops,10.846241420495,0
75,07b349e064,EtherDrops,10.846241420495,0
76,ff734df6f7,OrganicBlock - Redefining Urban Farming!,4.75,0
77,ff734df6f7,LUKSO: The Blockchain For New Digital Lifestyle,1.8999999999999997,0
78,bc9b998c2b,ETH2 Staking Guides by CoinCashew,19.0,0
79,bc9b998c2b,beaconcha.in - Open source Eth2 blockchain explorer,19.0,0
80,bc9b998c2b,Rotki - The portfolio tracker and accounting tool that protects your privacy,19.0,0
81,bc9b998c2b,Fuzzing @ Home - helping find bugs in ETH 2.0 clients,19.0,0
82,bc9b998c2b,Bankless,19.0,0
83,bc9b998c2b,Ethereum Staking Guides (Ubuntu),19.0,0
84,bc9b998c2b,The Daily Gwei by Anthony Sassano (sassal0x),19.0,0
85,bc9b998c2b,Ethereum.cn,19.0,0
86,bc9b998c2b,POAP (Proof of Attendance Protocol),19.0,0
87,640dc1af2b,Ethereum Staking Guides (Ubuntu),103.03929349470249,0
88,ff734df6f7,Furucombo - Build your own DeFi legos into one transaction without knowing how to code.,4.75,0
89,ff734df6f7,Our Bible,1.8999999999999997,0
90,bc9b998c2b,/r/ethstaker,19.0,0
91,a925207c11,Zero Knowledge Podcast,0.9499999999999998,0
92,a925207c11,EthHub - Ethereum Information Hub,0.9499999999999998,0
93,a925207c11,BrightID 🔆 Universal Proof of Uniqueness (Panvala League),0.9499999999999998,0
94,a925207c11,ETH Memes Twitter,0.9499999999999998,0
95,a925207c11,Bankless,0.9499999999999998,0
96,ff734df6f7,Our Bible,47.5,0
97,fe617a0859,The Athlete 360,27.115603551237502,0
98,c244add115,DAppChaser,4.75,0
99,6f1074ea3c,Coin Center is educating policy makers about public blockchains,9.5,0
100,d2effd17ba,Matic Mitra [Panvala League],4.142467063635983,0
101,e4eabbc002,EtherDrops,0.85,0
102,4ced918b91,DAppChaser,5.4231207102475,0
103,ff734df6f7,web3swift - Elegant Web3 functionality in Swift,4.75,0
104,ff734df6f7,Week in Ethereum News,4.75,0
105,ff734df6f7,OrganicBlock - Redefining Urban Farming!,7.599999999999999,0
106,ff734df6f7,StayBit,23.75,0
107,ff734df6f7,Our Bible,0.9499999999999998,0
108,ff734df6f7,T3RN,6.65,0
109,ff734df6f7,ETH Colombia community growth 🇨🇴,4.75,0
110,ff734df6f7,Certy - Certify Original Digital Content on Ethereum Blockchain,4.75,0
111,ff734df6f7,LUKSO: The Blockchain For New Digital Lifestyle,4.75,0
112,1309222062,EtherDrops,5.137693304445,0
113,45e0b5d94a,The Ethereum 2.0 Annotated Specification,1.0,0
114,45e0b5d94a,ArchiveNode.io - The Public Access Ethereum Archive Node,1.0,0
115,45e0b5d94a,Coin Center is educating policy makers about public blockchains,1.0,0
116,b5929dd8b3,EtherDrops,5.4231207102475,0
117,45e0b5d94a,WalletConnect,1.0,0
118,ff734df6f7,StayBit,4.75,0
119,ff734df6f7,LockEth,9.5,0
120,ff734df6f7,NFTfi,3.7999999999999994,0
121,ff734df6f7,Ethereum on ARM,4.75,0
122,ff734df6f7,"Trickle - Your Hourly Pay, Cryptographically Secured",9.5,0
123,ff734df6f7,HiBlock区块链社区 - hiblock community,0.9499999999999998,0
124,ff734df6f7,Furucombo - Build your own DeFi legos into one transaction without knowing how to code.,4.75,0
125,ff734df6f7,NiftyCrates,4.75,0
126,ff734df6f7,Nifty Ink,2.8499999999999996,0
127,ff734df6f7,OrganicBlock - Redefining Urban Farming!,1.8999999999999997,0
128,ff734df6f7,Colorwav,1.8999999999999997,0
129,ff734df6f7,Trust Graphic Novel & Motion Comic,0.9499999999999998,0
130,ff734df6f7,Git3,4.75,0
131,ff734df6f7,urllib3 - Python HTTP Library,0.9499999999999998,0
132,0014178a70,EtherDrops,5.8569703670673,0
133,d5712d9664,WalletConnect,2.8499999999999996,0
134,d5712d9664,DeFi Dad DeFi Tutorials on YouTube and Twitter,2.8499999999999996,0
135,d5712d9664,BrightID 🔆 Universal Proof of Uniqueness (Panvala League),1.726027943181659,0
136,d5712d9664,OpenEthereum (Ex-Parity client),2.8499999999999996,0
137,d5712d9664,clr.fund,1.726027943181659,0
138,d5712d9664,KERNEL Block II [Panvala League],1.726027943181659,0
139,d5712d9664,DAppNode,1.726027943181659,0
140,d5712d9664,A Hitchhiker's Guide to Token Engineering,1.726027943181659,0
141,d5712d9664,Nethermind,2.8499999999999996,0
142,d5712d9664,Upala 🤖 Price-of-forgery digital identity (Panvala League),1.726027943181659,0
143,d5712d9664,LUKSO: The Blockchain For New Digital Lifestyle,2.8499999999999996,0
144,d5712d9664,Minerva Wallet (lab10 collective - Panvala League),1.726027943181659,0
145,d5712d9664,Commons Stack Community Fund - Panvala League,1.726027943181659,0
146,5f3731ee74,EtherDrops,4.75,0
147,0acde52036,EthKids.io v.2,54.231207102475004,0
148,496cfa3a8b,Coin Center is educating policy makers about public blockchains,4.75,0
149,00ddfc6cea,Rekt- The dark web of DeFi journalism,2.0,0
150,3ef48e349f,EtherDrops,4.0823815625,0
151,c233ba0155,EtherDrops,2.71156035512375,0
152,81a0597f84,DeFi Library,0.9499999999999998,0
153,ff734df6f7,Keep3r.live,4.75,0
154,ff734df6f7,Meme of the Day,4.75,0
155,ff734df6f7,clr.fund,1.8999999999999997,0
156,ff734df6f7,LUKSO: The Blockchain For New Digital Lifestyle,4.75,0
157,ff734df6f7,OrganicBlock - Redefining Urban Farming!,4.75,0
158,ff734df6f7,Certy - Certify Original Digital Content on Ethereum Blockchain,14.25,0
159,ff734df6f7,The Defiant,1.8999999999999997,0
160,ff734df6f7,T3RN,4.75,0
161,ff734df6f7,OpenEthereum (Ex-Parity client),4.75,0
162,ff734df6f7,Vocdoni - Decentralized anonymous voting,0.9499999999999998,0
163,ff734df6f7,LittleLoong,1.8999999999999997,0
164,0cb9419207,BrightID 🔆 Universal Proof of Uniqueness (Panvala League),0.0,0
165,0cb9419207,WalletConnect,0.9499999999999998,0
166,0cb9419207,DAppNode - Panvala League,0.9499999999999998,0
167,0cb9419207,Tornado.cash,0.0,0
